variable,0,3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3030,3031,3032,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3061,3062,3063,3064,3065,3066,3067,3068,3069,3070,3071,3072,3073,3074,3075,3076,3077,3078,3079,3080,3081,3082,3083,3084,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3097,3098,3099,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117
food_convenience_num_region_plus_buffer,359,2,3,7,5,2,1,6,2,7,2,6,3,2,3,10,5,2,4,1,10,3,3,2,24,4,2,2,6,1,5,2,5,0,2,4,1,1,2,2,5,5,0,5,5,6,1,6,8,5,4,2,1,1,2,6,3,6,5,2,4,6,1,4,0,5,0,6,9,5,3,0,0,1,3,0,2,2,1,9,5,5,5,2,1,4,2,15,1,5,2,4,1,0,1,6,2,0,0,3,8,0,3,15,1,5,0,5,2,1,16,17,1,0,12,3,3
food_convenience_num_per_1000_res_plus_buffer,0.353,6.349,0.386,0.488,0.646,0.299,NA,1.149,0.462,1.154,0.242,0.657,0.351,0.22,0.116,1.167,0.322,0.154,0.485,100,0.622,0.468,0.282,0.216,0.753,0.339,0.139,0.166,0.903,0.174,250,0.873,0.339,0,0.228,0.482,0.254,0.217,0.354,0.656,0.613,0.862,0,0.278,0.35,1.323,0.255,0.442,0.638,0.471,3.433,12.5,0.162,0.18,0.294,0.547,0.353,120,0.848,0.364,0.201,0.524,0.376,0.35,0,0.356,0,0.871,1.515,0.62,0.287,0,0,0.173,0.348,0,0.655,0.356,0.203,0.373,0.224,0.301,0.586,0.309,20,0.354,0.35,0.709,0.169,0.799,0.328,0.133,0.224,0,0.221,0.585,0.137,0,0,0.157,0.595,0,0.273,1.084,0.36,0.225,0,0.389,0.072,0.213,1.525,2.321,0.356,0,1.362,0.244,0.262
food_convenience_dist_closest_3_popwt,1.642,1.55,1.205,0.815,1.146,1.307,NA,0.854,1.297,0.687,1.537,1.069,1.05,1.091,1.54,0.669,1.347,1.975,0.781,NA,0.673,5.9,0.997,1.17,0.332,1.257,2.773,1.496,1.012,0.949,NA,3.231,1.14,9.273,1.193,1.315,1.704,3.329,6.458,5.496,0.833,0.694,NA,1.404,1.423,1.104,7.852,0.63,1.504,3.929,0.963,2.763,0.945,0.946,0.866,0.457,0.985,NA,0.864,0.936,1.781,1.059,8.613,0.928,NA,0.831,1.432,0.462,0.308,0.686,4.01,11.811,1.571,7.712,4.196,12.066,6.336,0.69,7.999,0.908,1.26,1.214,0.578,0.827,NA,1.112,6.367,0.648,1.004,0.738,1.191,2.034,1.095,1.066,1.616,0.928,1.211,2.022,1.963,1.879,0.98,0.975,1.066,0.359,0.921,1.837,2.362,1.485,2.549,1.845,0.384,0.347,5.06,0.977,0.341,1.097,1.064
food_convenience_pct_within_15_mins,0.771,0.616,0.723,0.999,0.992,0.95,NA,0.924,0.839,1,0.931,1,0.984,0.989,0.901,1,0.565,0.736,1,NA,1,0.202,0.913,0.88,1,0.8,0.25,0.737,1,1,NA,0.491,0.793,0.011,0.903,0.9,0.848,0.109,0.133,0.034,0.962,1,NA,0.704,0.613,0.911,0.218,1,0.645,0.174,0.77,0,1,1,0.99,1,0.981,NA,1,0.881,0.432,0.819,0.04,0.936,NA,1,0.332,1,1,1,0.281,0,0.395,0.23,0.409,0,0.291,1,0.097,1,0.925,0.955,1,1,NA,0.881,0.397,0.955,1,1,0.975,0.415,0.693,0.945,0.756,0.985,0.967,0.059,0.278,0.749,0.863,0.892,0.751,1,1,0.608,0.112,0.809,0.481,0.256,1,1,0,1,1,0.92,0.817
food_fastfood_num_region_plus_buffer,1549,14,26,39,27,1,3,15,9,37,5,7,10,5,7,18,22,8,9,30,23,8,22,16,212,14,19,6,44,5,31,2,22,0,3,23,0,1,0,2,12,14,3,20,10,27,1,22,36,2,9,6,2,3,11,32,3,19,17,17,31,20,0,37,1,22,0,12,61,10,10,0,1,3,10,0,1,11,3,20,19,11,7,11,2,24,4,58,1,9,2,28,3,3,2,24,4,1,0,7,28,0,10,89,17,20,17,24,26,4,24,22,1,5,35,22,9
food_fastfood_num_per_1000_res_plus_buffer,1.522,44.444,3.348,2.72,3.486,0.15,NA,2.874,2.079,6.101,0.606,0.767,1.17,0.55,0.271,2.1,1.417,0.615,1.091,3000,1.43,1.247,2.069,1.728,6.648,1.188,1.317,0.497,6.622,0.868,1550,0.873,1.49,0,0.342,2.769,0,0.217,0,0.656,1.471,2.414,300,1.11,0.7,5.954,0.255,1.622,2.871,0.189,7.725,37.5,0.324,0.539,1.618,2.918,0.353,380,2.884,3.097,1.554,1.748,0,3.24,9.091,1.566,0,1.743,10.269,1.241,0.957,0,0.33,0.519,1.161,0,0.327,1.959,0.609,0.83,0.851,0.661,0.82,1.698,40,2.122,0.7,2.742,0.169,1.439,0.328,0.934,0.671,0.949,0.441,2.338,0.275,0.213,0,0.366,2.083,0,0.911,6.431,6.115,0.901,1.617,1.867,0.935,0.852,2.287,3.003,0.356,1.828,3.973,1.792,0.787
food_fastfood_dist_closest_3_popwt,1.265,1.579,0.866,0.536,0.568,1.107,NA,0.777,0.744,0.504,0.774,0.85,0.779,0.746,1.337,0.426,0.875,0.985,0.528,NA,0.612,4.143,0.594,0.732,0.228,1.101,2.383,0.8,0.573,0.539,NA,2.144,0.715,9.016,0.971,0.928,1.745,3.047,7.036,5.596,0.694,0.748,NA,0.968,1.199,0.72,7.521,0.415,0.842,5.014,0.815,2.655,0.811,0.743,0.569,0.263,0.942,NA,0.521,0.51,1.182,0.876,10.476,0.558,NA,0.549,0.967,0.345,0.214,0.515,2.841,9.22,1.309,5.043,1.969,10.519,7.077,0.442,3.966,0.71,0.975,0.864,0.472,0.479,NA,0.621,3.959,0.508,0.859,0.65,1.126,1.367,0.72,0.724,1.393,0.81,1.044,1.605,1.711,1.32,0.802,0.959,0.874,0.346,0.536,1.115,1.403,1.099,2.579,1.139,0.415,0.304,5.642,0.713,0.235,0.507,0.772
food_fastfood_pct_within_15_mins,0.812,0.616,0.798,1,1,0.991,NA,0.939,0.94,1,0.939,0.977,0.984,0.984,0.808,1,0.945,0.919,1,NA,0.995,0.243,1,1,1,0.845,0.38,0.946,1,1,NA,0.491,1,0.011,0.903,1,0.126,0.109,0.041,0.092,0.972,0.96,NA,0.867,0.719,1,0.23,1,0.925,0.151,0.844,0,1,1,1,1,0.994,NA,1,1,0.683,0.99,0,1,NA,1,1,1,1,1,0.259,0,0.692,0.238,0.497,0.001,0.215,1,0.13,1,0.8,0.964,1,1,NA,0.989,0.43,1,1,1,0.719,0.552,1,1,0.756,0.977,0.794,0.562,0.278,0.746,0.932,0.892,0.81,1,1,0.681,0.426,0.836,0.151,0.65,1,1,0.272,1,1,1,0.964
food_grocery_num_region_plus_buffer,129,1,1,0,1,0,0,2,1,4,1,2,2,0,2,2,2,0,2,0,2,0,2,0,4,0,2,1,1,0,0,0,1,0,0,3,0,0,0,0,2,2,0,1,1,5,0,4,5,1,0,1,0,0,0,1,0,0,0,2,2,4,0,2,0,3,0,1,4,1,1,0,0,0,2,0,0,0,0,1,1,1,1,1,0,1,1,4,0,0,0,6,0,0,0,2,2,0,0,1,7,0,0,2,3,2,3,2,4,1,1,2,0,0,2,3,1
food_grocery_num_per_1000_res_plus_buffer,0.127,3.175,0.129,0,0.129,0,NA,0.383,0.231,0.66,0.121,0.219,0.234,0,0.077,0.233,0.129,0,0.242,0,0.124,0,0.188,0,0.125,0,0.139,0.083,0.15,0,0,0,0.068,0,0,0.361,0,0,0,0,0.245,0.345,0,0.056,0.07,1.103,0,0.295,0.399,0.094,0,6.25,0,0,0,0.091,0,0,0,0.364,0.1,0.35,0,0.175,0,0.214,0,0.145,0.673,0.124,0.096,0,0,0,0.232,0,0,0,0,0.041,0.045,0.06,0.117,0.154,0,0.088,0.175,0.189,0,0,0,0.2,0,0,0,0.195,0.137,0,0,0.052,0.521,0,0,0.145,1.079,0.09,0.285,0.156,0.144,0.213,0.095,0.273,0,0,0.227,0.244,0.087
food_grocery_dist_closest_3_popwt,2.606,2.937,1.415,2.349,1.334,2.318,NA,1.655,1.857,0.922,3.174,1.527,1.153,1.458,1.723,1.15,3.392,2.62,1.451,NA,1.334,10.586,1.59,2.629,0.681,2.073,3.356,1.329,1.42,1.585,NA,19.841,1.58,13.429,2.859,1.518,3.8,4.427,11.057,9.692,1.453,1.117,NA,1.968,4.235,1.138,19.633,0.791,1.166,8.113,2.434,3.45,2.301,1.3,1.443,1.017,3.465,NA,2.408,0.729,2.299,1.157,17.857,1.194,NA,1.086,2.806,0.88,0.629,1.336,6.069,14.485,3.194,11.563,6.874,14.047,10.453,1.413,11.887,1.588,2.18,2.001,1.264,1.042,NA,1.233,10.484,1.093,1.201,1.625,1.709,2.094,2.869,1.453,2.369,1.48,1.589,2.19,2.324,2.918,1.661,1.068,2.058,1.163,0.717,2.724,1.82,1.9,2.735,2.787,1.345,1.108,13.287,2.112,0.928,0.987,1.274
food_grocery_pct_within_15_mins,0.543,0,0.559,0.178,0.948,0.424,NA,0.593,1,0.966,0.839,0.872,0.71,0.717,0.494,0.899,0.498,0.468,0.865,NA,0.956,0.003,0.49,0.08,1,0.472,0.018,0.844,0.635,0.377,NA,0,0.792,0,0.197,0.594,0.084,0.021,0.02,0,0.678,0.77,NA,0.426,0.564,0.673,0.012,0.911,0.86,0.101,0.364,0,0,0.646,0.879,1,0.001,NA,0.192,1,0.313,0.948,0,0.92,NA,0.909,0,1,1,0.627,0.117,0,0,0,0.202,0,0,0.967,0,0.648,0.268,0.473,0.989,0.941,NA,0.851,0.288,0.863,0.35,0.352,0.471,0.314,0,0.78,0,0.66,0.692,0.017,0.099,0.317,0.482,0.859,0.616,0.779,1,0.251,0.335,0.658,0.07,0.517,0.827,1,0,0,0.946,0.92,0.868
food_resto_num_region_plus_buffer,1071,8,10,5,7,2,4,16,6,13,2,3,5,2,5,9,22,2,8,5,16,4,12,5,143,11,6,3,17,1,19,1,15,0,2,10,3,1,3,4,3,3,0,5,4,20,0,44,17,6,5,0,0,1,3,27,1,10,6,25,20,11,0,23,1,17,1,14,91,5,17,1,0,2,7,1,2,8,1,22,19,10,5,10,3,21,3,28,2,5,0,19,0,0,0,10,0,2,0,4,17,1,9,38,6,13,8,14,13,6,21,15,0,4,85,22,9
food_resto_num_per_1000_res_plus_buffer,1.053,25.397,1.288,0.349,0.904,0.299,NA,3.065,1.386,2.143,0.242,0.329,0.585,0.22,0.194,1.05,1.417,0.154,0.97,500,0.995,0.624,1.128,0.54,4.484,0.933,0.416,0.248,2.558,0.174,950,0.437,1.016,0,0.228,1.204,0.761,0.217,0.531,1.311,0.368,0.517,0,0.278,0.28,4.41,0,3.244,1.356,0.566,4.292,0,0,0.18,0.441,2.462,0.118,200,1.018,4.554,1.003,0.962,0,2.014,9.091,1.21,0.314,2.033,15.32,0.62,1.628,0.428,0,0.346,0.813,0.257,0.655,1.425,0.203,0.913,0.851,0.601,0.586,1.543,60,1.857,0.525,1.324,0.339,0.799,0,0.634,0,0,0,0.974,0,0.426,0,0.209,1.264,0.606,0.82,2.746,2.158,0.586,0.761,1.089,0.467,1.278,2.001,2.048,0,1.463,9.648,1.792,0.787
food_resto_dist_closest_3_popwt,1.41,2.189,1.233,0.931,0.762,1.028,NA,0.793,0.875,0.593,1.651,1.255,0.954,0.933,1.335,0.63,0.868,1.323,0.525,NA,0.793,4.07,0.714,0.863,0.212,1.312,2.66,0.888,0.713,0.648,NA,5.598,1.344,9.487,1.268,1.197,0.951,3.238,5.148,5.62,1.004,0.803,NA,1.149,1.4,0.749,10.233,0.39,0.86,3.339,1.167,2.548,1.601,1.123,0.957,0.399,1.699,NA,0.759,0.442,1.641,0.92,10.242,0.623,NA,0.554,1.215,0.323,0.233,0.554,2.772,9.449,1.877,6.117,2.152,7.953,5.737,0.527,6.763,0.732,0.961,0.91,0.6,0.55,NA,0.719,4.921,0.641,0.777,0.763,1.377,1.327,1.118,1.167,1.884,0.903,1.453,1.206,1.606,1.673,1.191,0.986,1.143,0.338,0.685,1.261,1.643,1.137,2.573,1.119,0.528,0.384,7.725,0.743,0.187,0.544,0.749
food_resto_pct_within_15_mins,0.753,0,0.55,0.993,1,0.98,NA,0.953,0.928,1,0.939,0.951,0.761,0.872,0.529,1,0.959,0.857,1,NA,1,0.321,1,1,1,0.498,0.074,0.891,1,1,NA,0.113,0.635,0,0.539,0.649,0.932,0.114,0.154,0.103,0.962,0.986,NA,0.87,0.603,1,0.012,1,0.966,0.239,0.709,0,0.772,0.911,0.993,1,0.718,NA,1,1,0.309,0.961,0.018,1,NA,1,1,1,1,1,0.237,0.006,0.277,0.23,0.454,0.299,0.216,1,0.071,1,0.909,0.906,1,1,NA,0.989,0.321,1,1,1,0.635,0.567,0.861,0.89,0,0.839,0.545,0.9,0.34,0.582,0.793,0.892,0.689,1,1,0.721,0.263,0.841,0.14,0.673,1,1,0,1,1,1,0.957
food_specialty_num_region_plus_buffer,289,0,5,10,1,1,1,5,1,8,1,1,1,0,0,5,3,1,4,0,2,3,1,0,15,3,5,3,9,2,1,1,1,0,1,0,0,1,0,0,1,6,1,1,0,2,0,9,8,0,0,0,0,0,1,14,1,4,4,9,7,7,1,11,0,4,0,1,21,1,4,0,0,0,2,0,0,2,0,6,2,0,1,5,2,1,0,10,2,1,1,5,0,0,0,8,0,0,0,0,7,0,3,11,3,6,2,0,0,3,4,2,0,0,9,9,3
food_specialty_num_per_1000_res_plus_buffer,0.284,0,0.644,0.697,0.129,0.15,NA,0.958,0.231,1.319,0.121,0.11,0.117,0,0,0.583,0.193,0.077,0.485,0,0.124,0.468,0.094,0,0.47,0.255,0.347,0.248,1.354,0.347,50,0.437,0.068,0,0.114,0,0,0.217,0,0,0.123,1.034,100,0.056,0,0.441,0,0.663,0.638,0,0,0,0,0,0.147,1.277,0.118,80,0.679,1.639,0.351,0.612,0.376,0.963,0,0.285,0,0.145,3.535,0.124,0.383,0,0,0,0.232,0,0,0.356,0,0.249,0.09,0,0.117,0.772,40,0.088,0,0.473,0.339,0.16,0.164,0.167,0,0,0,0.779,0,0,0,0,0.521,0,0.273,0.795,1.079,0.27,0.19,0,0,0.639,0.381,0.273,0,0,1.022,0.733,0.262
food_specialty_dist_closest_3_popwt,2.359,3.96,1.102,0.667,1.657,1.631,NA,0.98,1.39,0.688,2.682,1.774,1.313,1.274,2.766,0.693,2.795,2.745,0.812,NA,1.417,4.477,1.628,1.81,0.46,1.452,2.836,1.068,1.071,0.704,NA,15.119,1.814,10.165,1.615,2.132,2.186,3.888,11.438,9.825,1.267,1.019,NA,1.8,6.469,1.192,15.034,0.618,1.37,11.52,2.003,2.632,1.776,1.316,1.34,0.4,1.353,NA,0.925,0.514,1.96,1.254,8.875,0.753,NA,0.83,1.83,0.853,0.451,1.159,3.625,13.376,3.629,17.427,4.06,12.091,9.978,0.999,11.115,1.385,1.654,2.386,1.09,0.6,NA,1.1,12.981,0.975,0.883,2.082,1.254,2.186,1.118,1.118,1.832,1.116,1.483,2,2.185,3.668,1.467,1.178,1.414,0.932,0.828,1.41,1.898,2.334,3.452,1.313,0.699,0.768,13.388,2.162,0.402,0.718,1.033
food_specialty_pct_within_15_mins,0.554,0,0.721,1,0.644,0.74,NA,0.901,0.384,1,0.838,0.302,0.47,0.581,0.043,1,0.366,0.33,0.95,NA,0.786,0.259,0.637,0.271,1,0.735,0.074,0.788,0.949,0.985,NA,0.375,0.378,0,0.236,0.147,0.084,0.089,0,0.002,0.927,0.735,NA,0.384,0,0.905,0.006,1,0.822,0,0.271,0,0.581,0.558,0.831,1,0.973,NA,1,1,0.363,0.524,0.005,0.994,NA,1,0.104,1,1,1,0.21,0,0,0,0.331,0,0,0.893,0,0.498,0.517,0.09,0.989,1,NA,0.805,0,0.979,1,0.87,0.975,0.197,0.768,0.945,0.297,0.84,0.5,0.017,0.188,0,0.548,0.892,0.729,0.929,1,0.519,0.221,0.194,0.04,0.445,1,1,0.055,0,1,0.98,0.932
